project,expected,wandb_runs,final_cells,missing_final,duplicates_discarded,states
coupled-muon-moe-pt1-prod,60,60,60,0,0,finished:60
coupled-muon-moe-pt2-screen,90,34,32,58,0,"crashed:1, finished:32, running:1"
coupled-muon-moe-anchor-adamw,25,24,15,10,9,finished:24
coupled-muon-moe-anchor-adamw-Iprime,25,25,25,0,0,finished:25
coupled-muon-ns-policy,36,36,33,3,0,finished:36
coupled-muon-k-curve,18,0,0,18,0,none
coupled-muon-lr-prefactor,18,0,0,18,0,none
coupled-muon-mla,45,0,0,45,0,none
coupled-muon-imposed-factff,12,0,0,12,0,none
coupled-muon-lora-rank,15,2,1,14,0,"finished:1, running:1"
coupled-muon-pair-policy,15,0,0,15,0,none
coupled-muon-mla-350m,30,0,0,30,0,none
