project,rung,optimizer,lr,seed,ns_coefficients,coupled_steps,ns_steps,lr_prefactor,kv_lora_rank,pair_policy,couple_qk,couple_vo,couple_updown
coupled-muon-imposed-factff,A0,muon,0.003,0,,,,,,,,,
coupled-muon-imposed-factff,A0,muon,0.003,1,,,,,,,,,
coupled-muon-imposed-factff,A0,muon,0.003,2,,,,,,,,,
coupled-muon-imposed-factff,A0,coupled_muon_v2,0.003,0,,,,,,,,,
coupled-muon-imposed-factff,A0,coupled_muon_v2,0.003,1,,,,,,,,,
coupled-muon-imposed-factff,A0,coupled_muon_v2,0.003,2,,,,,,,,,
coupled-muon-imposed-factff,P_factff,muon,0.003,0,,,,,,,,,
coupled-muon-imposed-factff,P_factff,muon,0.003,1,,,,,,,,,
coupled-muon-imposed-factff,P_factff,muon,0.003,2,,,,,,,,,
coupled-muon-imposed-factff,P_factff,coupled_muon_v2,0.003,0,,,,,,,,,
coupled-muon-imposed-factff,P_factff,coupled_muon_v2,0.003,1,,,,,,,,,
coupled-muon-imposed-factff,P_factff,coupled_muon_v2,0.003,2,,,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,1.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,1.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,1.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,2.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,2.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,2.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,3.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,3.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,3.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,5.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,5.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,5.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,8.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,8.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,8.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,0,bernstein,12.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,1,bernstein,12.0,,,,,,,
coupled-muon-k-curve,A0,coupled_muon_v2,0.003,2,bernstein,12.0,,,,,,,
coupled-muon-lora-rank,O_mla,coupled_muon_v2,0.01,0,,,,,16.0,,,,
coupled-muon-lora-rank,O_mla,coupled_muon_v2,0.01,1,,,,,16.0,,,,
